date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
10/4/2017,4218.66,0.2135,291.68,51.22,0.6008,303.32
10/5/2017,4321.44,0.238,294.99,51.64,0.6054,305.35
10/6/2017,4371.94,0.2334,308.33,52.08,0.6005,305.95
10/7/2017,4435.81,0.2397,311.26,52.57,0.5895,311.52
10/8/2017,4611.7,0.2799,309.49,53.3,0.606,301.97
10/9/2017,4777.49,0.2501,296.95,50.08,0.558,282.33
10/10/2017,4763.36,0.2582,298.46,50.58,0.552,290.93
10/11/2017,4824.2,0.2632,302.86,50.79,0.6076,298.21
10/12/2017,5432.62,0.2464,302.89,59.72,0.5947,290.81
10/13/2017,5637.26,0.2602,336.83,59.05,0.5872,308.82
10/14/2017,5824.71,0.2556,338.81,63.94,0.5836,316.35
10/15/2017,5688.14,0.2652,336.58,65.57,0.5738,308.89
10/16/2017,5759.33,0.2579,334.23,64.76,0.5608,302.16
10/17/2017,5598.58,0.2295,316.14,59.19,0.5501,299.48
10/18/2017,5575.83,0.217,313.54,60.55,0.5432,296.19
10/19/2017,5698.65,0.2139,307.41,59.68,0.5663,293.7
10/20/2017,5993.11,0.2082,303.08,60.09,0.5395,287.54
10/21/2017,6006.65,0.2097,299.55,58.09,0.5284,276.66
10/22/2017,5982.86,0.2014,294.03,56.51,0.5192,273.86
10/23/2017,5903.61,0.1917,285.27,54.63,0.4924,279.39
10/24/2017,5513.08,0.2038,296.5,55.56,0.5176,291
10/25/2017,5734,0.2023,296.35,56.19,0.5041,286.19
10/26/2017,5887.61,0.2019,295.54,55.55,0.5189,284.86
10/27/2017,5764.56,0.2001,296.36,55.02,0.5213,280.56
10/28/2017,5726.61,0.1982,293.35,54.22,0.5339,273.53
10/29/2017,6147.52,0.2015,304.04,56.75,0.6668,282.92
10/30/2017,6124.28,0.2024,306.8,56.22,0.7125,284.93
10/31/2017,6451.24,0.1975,303.64,55.5,0.7826,277.23
11/1/2017,6737.78,0.1903,289.42,52.83,1.05,269.64
11/2/2017,7024.81,0.2003,284.92,54.19,1.11,263.22
11/3/2017,7152.12,0.2059,304.51,55.98,1.2,276.79
11/4/2017,7363.8,0.2015,300.04,54.83,1.11,273.45
11/5/2017,7389.55,0.1997,296.23,54.6,1.09,272.22
11/6/2017,6959.23,0.2013,296.82,54.5,0.9124,273.87
11/7/2017,7102.75,0.2055,291.84,60.52,0.9518,288.95
11/8/2017,7444.36,0.2167,307.35,62.38,1.12,313.2
11/9/2017,7129.59,0.2154,319.66,64.15,1.18,325.37
11/10/2017,6565.8,0.2033,296.86,58.99,1.03,325.89
11/11/2017,6339.86,0.2092,314.23,62.14,1.16,343.43
11/12/2017,5878.13,0.1915,306.02,58.54,1.09,487.14
11/13/2017,6522.45,0.2001,314.6,61,1.18,421.66
11/14/2017,6597.06,0.205,334.72,62.13,1.68,420.93
